GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0006071,BP,glycerol metabolic process,18,1,0.0373648766975158,1,LEP
GO:0060926,BP,cardiac pacemaker cell development,7,1,0.0375824938059001,1,SHOX2
GO:0099173,BP,postsynapse organization,221,4,0.0378346632191496,1,"LZTS1,CTNND2,IGF1R,NRP2"
GO:0043559,MF,insulin binding,5,1,0.0380268162612209,1,IGF1R
GO:0036500,BP,ATF6-mediated unfolded protein response,9,1,0.0387924767610803,1,MBTPS1
GO:0032580,CC,Golgi cisterna membrane,75,2,0.0389409007630438,1,"GALNT2,GALNT3"
GO:0060920,BP,cardiac pacemaker cell differentiation,8,1,0.0392214799978881,1,SHOX2
GO:0035197,MF,siRNA binding,9,1,0.0398376820978132,1,AGO2
GO:1901078,BP,negative regulation of relaxation of muscle,8,1,0.0399587165035303,1,PDE4B
GO:0071878,BP,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,4,1,0.0399747818204299,1,PDE4B
GO:0010389,BP,regulation of G2/M transition of mitotic cell cycle,94,2,0.0400505451085136,1,"FOXN3,MBTPS1"
GO:0061549,BP,sympathetic ganglion development,9,1,0.0400865117384365,1,NRP2
GO:0045744,BP,negative regulation of G protein-coupled receptor signaling pathway,67,2,0.0401396687577308,1,"PDE4B,RGS20"
GO:0061099,BP,negative regulation of protein tyrosine kinase activity,12,1,0.0402741939398489,1,GPRC5A
GO:0032835,BP,glomerulus development,59,2,0.0403483341544872,1,"SULF1,MAGI2"
GO:0110011,BP,regulation of basement membrane organization,6,1,0.0406582218051771,1,LAMA2
GO:0006568,BP,L-tryptophan metabolic process,15,1,0.0406728482859849,1,HAAO
GO:0097490,BP,sympathetic neuron projection extension,6,1,0.0407145361069418,1,NRP2
GO:1903998,BP,regulation of eating behavior,16,1,0.0407764728199119,1,SLC24A4
GO:0045765,BP,regulation of angiogenesis,337,4,0.0411092853048848,1,"SULF1,AGO2,LEP,MIR375"
GO:0046325,BP,negative regulation of D-glucose import across plasma membrane,15,1,0.0414148716092106,1,LEP
GO:0032096,BP,negative regulation of response to food,17,1,0.0415610967053872,1,LEP
GO:0032099,BP,negative regulation of appetite,17,1,0.0415610967053872,1,LEP
GO:0032108,BP,negative regulation of response to nutrient levels,17,1,0.0415610967053872,1,LEP
GO:0042476,BP,odontogenesis,77,2,0.0416447640073633,1,"SLC24A4,FPR2"
GO:0021979,BP,hypothalamus cell differentiation,7,1,0.041851302797765,1,NRP2
GO:0009743,BP,response to carbohydrate,197,3,0.0419964686788057,1,"IGF1R,LEP,PTPRN2"
GO:0032274,BP,gonadotropin secretion,17,1,0.0425556723084882,1,LEP
GO:0021648,BP,vestibulocochlear nerve morphogenesis,7,1,0.0428992405167614,1,NRP2
GO:0016331,BP,morphogenesis of embryonic epithelium,61,2,0.0431872052933683,1,"SULF1,MTHFD1L"
