slideId,dim1,dim2,group,split
293101,-4.220814,6.2448506,IA,train
294413,15.521399,7.152745,III,test
296392,-1.6192981,7.33203,IIA,train
298794-1,13.426047,3.4463613,IB,train
298794-2,-7.101315,-6.745156,IB,train
300486,-3.2782047,-2.901255,IA,train
302256,22.864775,2.57442,IIB/C,train
303141,20.236427,-3.1155012,IIA,train
303962,-4.733814,-3.3782978,IA,train
304728-1,1.5411423,0.8042607,0,train
305313,1.2462091,-1.2252545,0,test
311160,6.1037164,-1.0935979,0,train
311220,-5.9133697,-0.53587544,0,test
313884,10.432426,-1.49005,IA,train
314706-2,-25.746916,1.2950313,0,test
316730,-9.054491,1.5634245,IA,train
319086,3.471906,0.8086391,IB,train
319616,-12.162044,-5.669153,IA,test
320913,-0.36776772,2.5840185,IA,train
321657,3.6680996,5.9396353,IIA,train
321818,-13.972527,-6.5518184,IA,train
324636,12.312825,7.738938,IIA,test
330358,-1.9891316,3.5969899,IA,train
335301,-7.444841,-0.13295771,IA,train
335987-1,-17.407988,3.589314,IA,train
337890,-26.759476,-1.0153207,0,train
341033,12.712163,-3.0959337,IA,train
343178,13.528725,7.21293,IIA,test
344058-2,-16.999949,-7.2755837,0,train
344572,-2.0531952,0.4520768,0,test
347487,11.066879,3.753483,IB,train
349147,-16.460205,0.02508755,0,train
350659,-26.982271,0.4366985,IA,train
352752,26.601194,2.6799393,IIB/C,train
354521,-13.710172,1.7794964,0,train
354560,-8.701823,1.5758121,IB,train
355991,14.808304,4.592405,IB,train
361971,-27.489597,-0.56093735,III,train
367891,-2.897332,0.7463286,0,test
368694,-25.47332,-1.0084149,IA,test
371410,-16.161362,1.7085294,0,test
376488,-12.874449,-2.953892,0,train
377114,-25.825901,-0.01302401,0,train
377942,-2.463555,-5.312594,IA,test
383544,-27.547749,-2.374438,IA,train
388600,-8.397035,5.3024244,IA,test
389344,-21.440607,-3.4782407,IA,train
397503,-28.488623,-0.57093227,IA,train
398342-1,12.338026,-5.0837407,IB,train
399625,-15.938541,-5.3576136,IA,train
401945-1,1.068018,1.2254452,IA,train
402631,17.166481,-3.1021304,III,train
404049,-10.4812155,-5.0744605,0,train
405904,6.468521,4.265317,IA,test
408057,-22.571636,-1.236354,IA,train
408086,13.051522,6.5466757,IIA,train
411146-2,12.690761,2.9180155,IB,train
411147,-12.931394,3.566557,IA,train
415543,-28.17549,0.9354801,0,train
415813,6.142504,-3.461723,IA,train
421369,-13.163914,-1.1942705,0,train
433603,-5.643293,6.7607903,IB,train
436412-1,-12.829987,-2.405936,0,train
440627,13.576886,-4.1128125,IB,train
440783,-26.866032,-4.1437206,0,train
442469,-2.8655019,-0.9587713,0,train
445174,20.816322,-4.3839674,III,train
447044,12.033393,5.5698457,IA,train
452949,19.740223,3.8065007,IIA,train
454218,-24.82573,2.2908533,IA,test
456459,20.856329,4.7213254,IIB/C,train
466480,-14.882342,4.5063143,IA,test
468162-2,-12.781172,5.386227,IB,train
469327,3.3008862,-3.437515,0,train
471776,11.68499,2.8431482,IB,train
472815,10.40569,-3.6297636,IB,train
474532,-15.271703,-0.92789394,0,train
475184,-11.103543,-3.0527382,0,test
479037,6.5644526,4.1920652,IA,test
481121,13.800503,1.6409875,IA,train
482141-1,2.5786517,2.142754,IB,train
482141-2,-14.62845,-8.352358,IA,train
486138-2,-27.259941,-1.3612672,IA,train
487457,-2.8144608,5.5833974,IA,train
488135,-15.021265,-2.6210191,0,train
491345,9.461201,5.648,IIA,train
492120,9.509299,-6.31664,IIB/C,train
493750,-7.3618207,-5.1479244,IA,train
493867,6.3061304,0.89418703,IB,train
494581,-20.890543,-2.1174164,0,train
496735,-7.3474646,-6.570497,0,train
496751-1,13.986874,-1.4264402,IA,train
501441-1,15.005339,-0.18225159,IB,train
501443,-8.815815,-0.9322372,IA,train
