filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
none,none,lasso,1,12,1.4542283834273138,0.1768128111317699,0.3016137895698079,2.2963488577843707,1.422057579691353,0.577645457916355,0.3848070296591293,1.476937979222442,2.5675733962902334
none,none,elasticnet,1,12,1.372900777291193,0.2231812577065351,0.5319719677217767,2.195717705603754,1.3361798447103634,0.5513414762226627,0.4408134578406821,1.253819301142824,2.459532878226872
none,none,svr,1,12,1.2911098522573858,0.1745584847709239,0.3728546268612903,2.2495913879760683,1.1426349314517,0.6025123878277184,0.8010992755114548,1.041245987461364,1.9095751433160089
none,none,random_forest,1,12,1.0152121693121694,0.6749040904788003,0.7564608041269865,0.6689,0.5371111111111111,0.8627142857142857,0.9893333333333332,0.7117142857142856,2.3215
none,none,xgboost,1,12,1.0815533965623076,0.6298984034833092,0.7061145950869163,0.6802351238555275,0.5625562142166827,0.958083382674626,1.3921738465627034,0.7364409140178135,2.159830898046493
none,none,coral,1,12,0.9939933240229702,0.6364347146207976,0.690188086874511,0.9467040032148362,0.5356426724681148,0.8484953045845032,0.983177622159322,0.716157078742981,1.9337832629680636
none,none,ordinal_mlp,1,12,1.0472079695374876,0.6011886143259306,0.677112985048928,0.952869039773941,0.4570307797855801,0.9754070171288082,1.1981494426727295,0.6420439652034214,2.057747572660446
none,none,corn,1,12,1.083641975308642,0.6355537558210164,0.5989799798980803,0.65,0.5185185185185185,0.9285714285714286,1.3333333333333333,0.5714285714285714,2.5
none,none,mord_ridge,1,12,1.0626543209876542,0.6142489760929613,0.6381488432501813,1.2,0.925925925925926,0.6428571428571429,1.0,0.8571428571428571,1.75
none,none,mord_logistic_at,1,12,1.0193562610229276,0.6720551212402279,0.6478412080353607,1.05,0.8518518518518519,0.5714285714285714,1.0,1.1428571428571428,1.5
none,none,ogboost,1,12,0.9185626102292768,0.681843000546012,0.71229164533057,0.35,0.8518518518518519,1.0714285714285714,0.6666666666666666,0.5714285714285714,2.0
none,none,ridge,2,12,1.1020896726081182,0.5017553335133675,0.715676843773481,1.5075801222369507,0.8810397788461962,0.6549159940519514,0.8696898759739474,0.964840727697426,1.7344715368422374
none,none,lasso,2,12,1.4406483062849904,0.1009463722397475,0.1066493028502766,2.4069215062399003,1.3975249575492188,0.3756800411576637,0.3718861487875678,1.5081744012233065,2.583702782752286
