filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,pls20,elasticnet,0,20.0,0.8875477180207576,0.6903905104624816,0.6783219590525894
boruta,pls20,svm,0,20.0,0.8849075828429185,0.7062441689990671,0.7132247359520086
boruta,pls20,mlp,0,20.0,0.8563560053681653,0.6570571771291482,0.6534626216077829
boruta,pls20,cnn,0,20.0,0.8724414282308771,0.6569238971078235,0.6564522876528877
boruta,pls30,xgboost,0,30.0,0.8847979492617063,0.7121151539384246,0.708904167727697
boruta,pls30,random_forest,0,30.0,0.8794642801248003,0.6497867519658803,0.6539884342966703
boruta,pls30,logistic,0,30.0,0.8807918711672243,0.7137878182060509,0.7021291147724864
boruta,pls30,elasticnet,0,30.0,0.8799135839770565,0.7318539250966279,0.7140536723163843
boruta,pls30,svm,0,30.0,0.8773664157276725,0.7219178995068639,0.7156890147035989
boruta,pls30,mlp,0,30.0,0.8393567660750331,0.6702052512328404,0.6528368468826812
boruta,pls30,cnn,0,30.0,0.8782227612025105,0.7287818206050912,0.7260809377680421
boruta,ae,xgboost,1,64.0,0.887155044011109,0.6740294511378849,0.6715848639967881
boruta,ae,random_forest,1,64.0,0.8857609586057359,0.6977911646586344,0.6856114786340068
boruta,ae,logistic,1,64.0,0.9034753902340754,0.6962516733601071,0.6824870448561814
boruta,ae,elasticnet,1,64.0,0.9027810281568032,0.6906961178045515,0.676587339841432
boruta,ae,svm,1,64.0,0.898234698815176,0.6715528781793841,0.6546020413944943
boruta,ae,mlp,1,64.0,0.909429781270055,0.7082998661311914,0.7082998661311914
boruta,ae,cnn,1,64.0,0.8976171165754744,0.614190093708166,0.5751322751322752
boruta,ae_vae,xgboost,1,64.0,0.8611251339801461,0.6397590361445783,0.6344984636430681
boruta,ae_vae,random_forest,1,64.0,0.8860292222366734,0.7082998661311914,0.6977294435294029
boruta,ae_vae,logistic,1,64.0,0.8978304271013945,0.6842034805890228,0.6623166115863077
boruta,ae_vae,elasticnet,1,64.0,0.898838405878703,0.6842034805890228,0.6623166115863077
boruta,ae_vae,svm,1,64.0,0.8855246988815243,0.6977911646586344,0.6777338603425559
boruta,ae_vae,mlp,1,64.0,0.8980131356666625,0.6842034805890228,0.6618414613176725
boruta,ae_vae,cnn,1,64.0,0.8941188282675592,0.6786479250334673,0.6560556336927644
boruta,chrom_hmm,xgboost,1,15.0,0.9049237851444252,0.7558232931726908,0.7456875493254161
boruta,chrom_hmm,random_forest,1,15.0,0.9274539270986224,0.756760374832664,0.756760374832664
boruta,chrom_hmm,logistic,1,15.0,0.918237817633946,0.7391566265060242,0.7199652532710786
boruta,chrom_hmm,elasticnet,1,15.0,0.917115270096613,0.7391566265060242,0.7191984155625439
boruta,chrom_hmm,svm,1,15.0,0.9171737235224192,0.7456492637215528,0.729776247848537
boruta,chrom_hmm,mlp,1,15.0,0.9087492784635725,0.6906961178045515,0.6884028757642948
boruta,chrom_hmm,cnn,1,15.0,0.882960834898196,0.5851405622489959,0.542271721282216
boruta,none,xgboost,1,436.0,0.9242119381638624,0.7354752342704151,0.7516923076923078
boruta,none,random_forest,1,436.0,0.929138557875106,0.7234270414993307,0.733597276036163
boruta,none,logistic,1,436.0,0.9175146384074327,0.7870147255689425,0.7849930564666451
boruta,none,elasticnet,1,436.0,0.9192059352443608,0.7694109772423025,0.7577930651101382
boruta,none,svm,1,436.0,0.9330838482815323,0.7178714859437751,0.7202442210602548
boruta,none,mlp,1,436.0,0.9171626147471276,0.7197456492637215,0.7391244268576095
boruta,none,cnn,1,436.0,0.8550310016402541,0.5837349397590361,0.5064058781731683
boruta,pca100,xgboost,1,100.0,0.91865239376498,0.7416331994645248,0.7536757103223058
boruta,pca100,random_forest,1,100.0,0.9148342265797524,0.6669344042838019,0.6712537991194756
boruta,pca100,logistic,1,100.0,0.9153871341159328,0.7502677376171353,0.7325976348994017
boruta,pca100,elasticnet,1,100.0,0.9172122963531316,0.7638554216867469,0.7511638120333771
boruta,pca100,svm,1,100.0,0.929936114658012,0.7678714859437751,0.7678714859437751
boruta,pca100,mlp,1,100.0,0.9024034524955684,0.6935073627844712,0.7065001887683936
boruta,pca100,cnn,1,100.0,0.905619876932311,0.7067603748326641,0.6932840839862716
boruta,pca200,xgboost,1,200.0,0.9159016256030528,0.7734270414993306,0.781245835903491
boruta,pca200,random_forest,1,200.0,0.8994330269910747,0.6749665327978581,0.681851385536883
boruta,pca200,logistic,1,200.0,0.921626581461065,0.7527443105756358,0.7521579430670341
boruta,pca200,elasticnet,1,200.0,0.9241789560759616,0.7623159303882195,0.7582938695864977
boruta,pca200,svm,1,200.0,0.9328919464037604,0.7829986613119143,0.7912088981098503
boruta,pca200,mlp,1,200.0,0.9065875185172764,0.7172690763052209,0.7336577582280532
boruta,pca200,cnn,1,200.0,0.8405060484543464,0.493239625167336,0.3355919442875965
boruta,pca300,xgboost,1,300.0,0.920211652048709,0.7456492637215528,0.7616426598462528
boruta,pca300,random_forest,1,300.0,0.8933796743540573,0.6799196787148595,0.6897207367795604
boruta,pca300,logistic,1,300.0,0.9149302280750404,0.7678714859437751,0.7673553719008265
