filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
iqr,pca300,corn,0,298,0.6901234567901234,0.8154402895054282,0.6925804671194932,0.4,0.4074074074074074,1.0,1.0,0.3333333333333333,1.0
iqr,pca300,mord_ridge,0,298,0.6290123456790123,0.8216939078751857,0.7086473037357841,0.55,0.4074074074074074,0.7333333333333333,0.3333333333333333,0.5,1.25
iqr,pca300,mord_logistic_at,0,298,0.605246913580247,0.8142089273194673,0.7030997072384685,0.45,0.4814814814814814,0.8666666666666667,0.3333333333333333,0.5,1.0
iqr,pca300,ogboost,0,298,0.7132716049382717,0.753042233357194,0.7023292901293715,0.45,0.6296296296296297,0.8666666666666667,0.3333333333333333,0.5,1.5
iqr,pls20,ridge,0,20,0.6572790530849708,0.8068350668647846,0.690662895835767,0.6811759038639813,0.5442530507194084,0.8127860446646271,0.3330587147934271,0.470457849347186,1.101942755121195
iqr,pls20,lasso,0,20,0.6463970345760662,0.8056801195814649,0.6885636165171172,0.695113046869607,0.4901389391251181,0.8098057037713585,0.4339058698414901,0.4342739003418699,1.015144747506954
iqr,pls20,elasticnet,0,20,0.6445662240208655,0.7959436062329953,0.6836258750211381,0.6819074649203067,0.5008025327799404,0.8138022271957523,0.4032526781176779,0.4257246467345294,1.041907794376986
iqr,pls20,svr,0,20,0.6243058655910158,0.8028762707661791,0.6827240719335492,0.6040882903111554,0.4920084329120487,0.8545130886540101,0.5001852274375072,0.3326080534956747,0.9624321007356988
iqr,pls20,random_forest,0,20,0.6679820987654321,0.8111658456486043,0.7559529025543883,0.5844,0.4379259259259259,0.7537333333333333,0.3406666666666666,0.8226666666666667,1.0685
iqr,pls20,xgboost,0,20,0.6338637071178743,0.8354171982648635,0.7171552094908399,0.6154537221416831,0.4065246863497628,0.7923827846844991,0.4037659962972005,0.6700918674468994,0.9149631857872008
iqr,pls20,coral,0,20,0.639720517585491,0.8071979434447301,0.7094677077605732,0.5346375331282616,0.5414698398499577,0.8207414338986079,0.5227251847585043,0.444951852162679,0.9737972617149352
iqr,pls20,ordinal_mlp,0,20,0.5803101128645609,0.8243045387994143,0.7206737198981541,0.5478096676990389,0.447422870469314,0.8263337850570679,0.4405255317687988,0.3772264719009399,0.8425423502922058
iqr,pls20,corn,0,20,0.5046296296296297,0.8405338158787605,0.6983068486252433,0.4,0.4444444444444444,0.9333333333333332,0.3333333333333333,0.1666666666666666,0.75
iqr,pls20,mord_ridge,0,20,0.6484567901234568,0.8068350668647846,0.678928458396933,0.6,0.4074074074074074,0.8,0.3333333333333333,0.5,1.25
iqr,pls20,mord_logistic_at,0,20,0.6574074074074074,0.8058608058608059,0.667319021075792,0.55,0.4444444444444444,0.8666666666666667,0.3333333333333333,0.5,1.25
iqr,pls20,ogboost,0,20,0.6540123456790123,0.8079763663220089,0.7315713763724342,0.4,0.4074074074074074,0.8666666666666667,0.3333333333333333,0.6666666666666666,1.25
iqr,pls30,ridge,0,30,0.6562456400053349,0.8068350668647846,0.6920525596100844,0.6797194358222244,0.5420397923398107,0.8095718228651176,0.3264709936886921,0.4730495017406245,1.1066222935755397
iqr,pls30,lasso,0,30,0.6441692139756693,0.8056801195814649,0.6898793620055667,0.6919115428120806,0.4897163293129663,0.8076593942168577,0.4343965603746831,0.4321735004215846,1.009157956715843
iqr,pls30,elasticnet,0,30,0.6435726039686155,0.7959436062329953,0.6823101295326888,0.6788364602715047,0.500168644253406,0.8123728516529521,0.4071192962839207,0.4247673099497753,1.038171061400134
iqr,pls30,svr,0,30,0.6213235539371036,0.8152709359605912,0.6926882568685487,0.5778124946673617,0.4977862876462452,0.8601215088242673,0.4941309089559709,0.3672514552163992,0.9308386683123772
iqr,pls30,random_forest,0,30,0.6717648148148148,0.8237179487179487,0.7509046747905147,0.5555,0.4528888888888889,0.7872,0.4313333333333333,0.8076666666666666,0.9959999999999998
iqr,pls30,xgboost,0,30,0.6971308081491311,0.8038229376257546,0.7085067700442899,0.5586997743695974,0.5418405407280834,0.7923279588421186,0.6688682238260905,0.525718887646993,1.095329463481903
iqr,pls30,coral,0,30,0.6879566564788053,0.7845538026842477,0.6950832093306702,0.5713001221418381,0.5603129444298921,0.9198258539040884,0.6437236467997233,0.5239330530166626,0.9086443185806274
iqr,pls30,ordinal_mlp,0,30,0.6391944074474367,0.8189134808853119,0.7078415054714783,0.5596449546515941,0.439790996964331,0.7821675340334574,0.5293576717376709,0.5294782718022665,0.9947270154953004
